Name	Summary	POS	Status	Date	Injury	Returns	Team
Rashaad Penny	handRashaad Penny weighed in at 236 pounds at Seahawks camp this week.Questionable for Week 1Aug 22	RB	Sidelined	Aug 14	hand	Questionable for Week 1	Seattle Seahawks
Doug Baldwin	"kneeSeahawks coach Pete Carroll said Doug Baldwin (knee) will ""for sure"" be ready for Week 1 against the Broncos.Ready for Week 1Aug 21"	WR	Sidelined	Jul 31	knee	Ready for Week 1	Seattle Seahawks
Dion Jordan	shin splintsThe Seahawks consider DE Dion Jordan (shin) questionable for Week 1.Questionable for Week 1Aug 7	DL	Sidelined	Jul 26	shin splints	Questionable for Week 1	Seattle Seahawks
Dontae Johnson	footSeahawks CB Dontae Johnson is recovering from a broken foot.Questionable for training campJun 12	DB	Sidelined	Jun 12	foot	Questionable for training camp	Seattle Seahawks
Joe Williams	ribs49ers RB Joe Williams is out until at least Week 1 with a fractured rib.Out indefinitelyAug 19	RB	Sidelined	Aug 19	ribs	Out indefinitely	San Francisco 49ers
Terrell Williams	knee49ers placed S Terrell Williams on injured reserve with a hyperextended knee.Status uncertainAug 17	DB	I.L.	Aug 17	knee	Status uncertain	San Francisco 49ers
Jerick McKinnon	calf49ers GM John Lynch said Jerick McKinnon (calf) will be out of action until Week 1.Questionable for Week 1Aug 17	RB	Sidelined	Aug 17	calf	Questionable for Week 1	San Francisco 49ers
Solomon Thomas	concussion49ers DE Solomon Thomas is in the concussion protocol.Day to DayAug 10	DL	Sidelined	Aug 10	concussion	Day to Day	San Francisco 49ers
George Kittle	shoulder49ers coach Kyle Shanahan expects George Kittle to be ready for Week 1.Questionable for Week 1Aug 10	TE	Sidelined	Aug 10	shoulder	Questionable for Week 1	San Francisco 49ers
Matt Breida	shoulderNBC Sports Bay Area's Matt Maiocco reports Matt Breida (shoulder) is likely to miss the rest of the preseason.Questionable for Week 1Aug 10	RB	Sidelined	Aug 10	shoulder	Questionable for Week 1	San Francisco 49ers
Richard Sherman	hamstringRichard Sherman (hamstring) returned to practice on a limited basis Sunday.Week-to-weekAug 12	DB	Sidelined	Aug 3	hamstring	Week-to-week	San Francisco 49ers
Arik Armstead	hamstring49ers DE Arik Armstead is week to week with a hamstring injury.Week to weekJul 31	DL	Sidelined	Jul 31	hamstring	Week to week	San Francisco 49ers
Reuben Foster	-49ers DC Robert Saleh said the coaching staff is working with MLB Reuben Foster to improve his technique.Week 3Jul 30	LB	Suspended	Jul 3	-	Week 3	San Francisco 49ers
Victor Bolden	-NFL suspended WR Victor Bolden four games for violating the league's policy on PEDs.Week 5Jun 1	WR	Suspended	Jun 1	-	Week 5	San Francisco 49ers
Kentavius Street	knee surgery49ers signed fourth-round DE Kentavius Street to a four-year contract.Return 2019May 7	DL	PUP	Apr 28	knee surgery	Return 2019	San Francisco 49ers
Donovan Smith	kneeNFL Network's Ian Rapoport reports Bucs LT Donovan Smith has been diagnosed with a knee sprain and will be sideline 2-4 weeks.Questionable for Week 1Aug 21	T	Sidelined	Aug 21	knee	Questionable for Week 1	Tampa Bay Buccaneers
Charles Sims	kneeCharles Sims' left knee injury isn't believed to be serious.Week 1Aug 19	RB	Sidelined	Aug 18	knee	Week 1	Tampa Bay Buccaneers
Stevie Tu'ikolovatu	tricepsBuccaneers waived/injured DT Stevie Tu'ikolovatu.Status uncertainAug 17	DL	I.L.	Aug 17	triceps	Status uncertain	Tampa Bay Buccaneers
Vernon Hargreaves	groinCB Vernon Hargreaves (groin) returned to practice Tuesday.Week to weekAug 21	DB	Sidelined	Jul 29	groin	Week to week	Tampa Bay Buccaneers
Jameis Winston	"-In a statement, the NFL warned suspended QB Jameis Winston that ""a future violation of the Personal Conduct Policy will result in more substantial discipline, including a potential ban from the NFL.""Return Week 4Jun 29"	QB	Suspended	Jun 28	-	Return Week 4	Tampa Bay Buccaneers
Kendell Beckwith	ankleBucs sophomore LB Kendell Beckwith suffered a broken ankle in a car accident last week.Questionable for Week 1Apr 19	LB	Sidelined	Apr 19	ankle	Questionable for Week 1	Tampa Bay Buccaneers
Delanie Walker	"toeDelanie Walker is being ""evaluated"" after suffering a lower-body injury in Thursday's practice.Status uncertainAug 16"	TE	Sidelined	Aug 16	toe	Status uncertain	Tennessee Titans
Dane Cruikshank	shoulderTitans FS Dane Cruikshank suffered a shoulder injury in Thursday's preseason opener.Aug 10	DB	Sidelined	Aug 10	shoulder		Tennessee Titans
Johnathan Cyprien	kneeTitans placed S Johnathan Cyprien (knee) on injured reserve.Out for seasonAug 3	DB	I.L.	Aug 2	knee	Out for season	Tennessee Titans
Rishard Matthews	undisclosedTitans coach Mike Vrabel said Rishard Matthews (undisclosed, active/PUP) is close to returning to practice.Status uncertainAug 22	WR	Sidelined	Jul 30	undisclosed	Status uncertain	Tennessee Titans
Jack Conklin	knee surgeryTitans placed RT Jack Conklin (ACL) on the active/PUP list.Questionable for Week 1Jul 22	T	Sidelined	Jan 14	knee surgery	Questionable for Week 1	Tennessee Titans
Nate Palmer	-Titans re-signed LB Nate Palmer to a two-year contract.Mar 9	LB	I.L.	Mar 9	-		Tennessee Titans
Kalan Reed	-Titans waived CB Kalan Reed and WR Ben Roberts.Sep 2	DB	I.L.	Sep 2	-		Tennessee Titans
Tye Smith	-Seahawks signed No. 170 overall pick CB Tye Smith to a four-year, $2.446 million contract.Out for seasonMay 7	DB	I.L.	May 7	-	Out for season	Tennessee Titans
Stacy McGee	groinRedskins DL Stacy McGee (thigh) is likely to open the season on the reserve/PUP list.Return Week 7?Aug 17	DL	PUP	Aug 17	groin	Return Week 7?	Washington Redskins
Byron Marshall	ankleRedskins RB Byron Marshall will miss 2-4 weeks with an ankle injury.Status uncertainAug 17	RB	Sidelined	Aug 17	ankle	Status uncertain	Washington Redskins
Samaje Perine	"ankleSamaje Perine is expected to miss ""at least"" a week with a sprained ankle he suffered in Thursday's preseason game against the Jets.Week to weekAug 17"	RB	Sidelined	Aug 16	ankle	Week to week	Washington Redskins
Robert Davis	legRedskins WR Robert Davis suffered a broken leg and torn LCL at Saturday's practice.Out for SeasonAug 11	WR	I.L.	Aug 11	leg	Out for Season	Washington Redskins
Derrius Guice	kneeRedskins coach Jay Gruden doesn't expect to add a running back with Derrius Guice (ACL surgery, IR) out for the season.Out for seasonAug 11	RB	Sidelined	Aug 9	knee	Out for season	Washington Redskins
Josh Doctson	"shoulderRedskins coach Jay Gruden said Josh Doctson (shoulder) ""checked out fine.""Day to dayAug 2"	WR	Sidelined	Aug 1	shoulder	Day to day	Washington Redskins
Joshua Holsey	footRedskins CB Joshua Holsey will miss the start of training camp with a foot injury.Week to weekJul 25	DB	Sidelined	Jul 25	foot	Week to week	Washington Redskins
Arie Kouandjio	quadricepsRedskins waived/injured OG Arie Kouandjio.Out for seasonMay 23	T	I.L.	May 11	quadriceps	Out for season	Washington Redskins
